tiempo,S,I,R
0.0,3000.0,12.0,0.0
0.06,3000.0,12.0,0.0
0.12,3000.0,12.0,0.0
0.18,3000.0,12.0,0.0
0.24,3000.0,12.0,0.0
0.3,3000.0,12.0,0.0
0.36,3000.0,12.0,0.0
0.42,3000.0,12.0,0.0
0.48,3000.0,12.0,1.0
0.54,3000.0,12.0,1.0
0.6,3000.0,12.0,1.0
0.6599999999999999,3000.0,11.0,1.0
0.72,3000.0,11.0,1.0
0.78,3000.0,11.0,1.0
0.84,3000.0,11.0,1.0
0.8999999999999999,3000.0,11.0,1.0
0.96,3000.0,11.0,1.0
1.02,3000.0,11.0,1.0
1.08,3000.0,11.0,1.0
1.14,3000.0,11.0,1.0
1.2,3000.0,11.0,1.0
1.26,3000.0,11.0,1.0
1.3199999999999998,3000.0,11.0,2.0
1.38,3000.0,11.0,2.0
1.44,3000.0,11.0,2.0
1.5,2999.0,11.0,2.0
1.56,2999.0,11.0,2.0
1.6199999999999999,2999.0,11.0,2.0
1.68,2999.0,11.0,2.0
1.74,2999.0,11.0,2.0
1.7999999999999998,2999.0,11.0,2.0
1.8599999999999999,2999.0,11.0,2.0
1.92,2999.0,10.0,2.0
1.98,2999.0,10.0,2.0
2.04,2999.0,10.0,2.0
2.1,2999.0,10.0,2.0
2.16,2999.0,10.0,2.0
2.2199999999999998,2999.0,10.0,2.0
2.28,2999.0,10.0,3.0
2.34,2999.0,10.0,3.0
2.4,2999.0,10.0,3.0
2.46,2999.0,10.0,3.0
2.52,2999.0,10.0,3.0
2.58,2999.0,10.0,3.0
2.6399999999999997,2999.0,10.0,3.0
2.6999999999999997,2999.0,10.0,3.0
2.76,2999.0,10.0,3.0
2.82,2999.0,10.0,3.0
2.88,2999.0,10.0,3.0
2.94,2999.0,10.0,3.0
3.0,2999.0,10.0,3.0
3.06,2999.0,10.0,3.0
3.12,2999.0,10.0,3.0
3.1799999999999997,2999.0,10.0,3.0
3.2399999999999998,2999.0,10.0,3.0
3.3,2999.0,10.0,4.0
3.36,2999.0,9.0,4.0
3.42,2999.0,9.0,4.0
3.48,2999.0,9.0,4.0
3.54,2999.0,9.0,4.0
3.5999999999999996,2999.0,9.0,4.0
3.6599999999999997,2999.0,9.0,4.0
3.7199999999999998,2999.0,9.0,4.0
3.78,2999.0,9.0,4.0
3.84,2999.0,9.0,4.0
3.9,2999.0,9.0,4.0
3.96,2999.0,9.0,4.0
4.02,2999.0,9.0,4.0
4.08,2999.0,9.0,4.0
4.14,2999.0,9.0,4.0
4.2,2999.0,9.0,4.0
4.26,2999.0,9.0,4.0
4.32,2999.0,9.0,4.0
4.38,2999.0,9.0,5.0
4.4399999999999995,2999.0,9.0,5.0
4.5,2999.0,9.0,5.0
4.56,2999.0,9.0,5.0
4.62,2999.0,9.0,5.0
4.68,2999.0,9.0,5.0
4.74,2999.0,9.0,5.0
4.8,2999.0,9.0,5.0
4.859999999999999,2999.0,9.0,5.0
4.92,2998.0,8.0,5.0
4.9799999999999995,2998.0,8.0,5.0
5.04,2998.0,8.0,5.0
5.1,2998.0,8.0,5.0
5.16,2998.0,8.0,5.0
5.22,2998.0,8.0,5.0
5.279999999999999,2998.0,8.0,5.0
5.34,2998.0,8.0,5.0
5.3999999999999995,2998.0,8.0,5.0
5.46,2998.0,8.0,5.0
